"We feel like it's our time to step up and prove to ourselves and the world that since Future Hearts, All Time Low is an arena band.",NON_FACTUAL
"Since bursting onto the scene in 2003, All Time Low has released six  studio albums, toured with bands such as Blink 182, Green Day, Fall Out Boy and Foo Fighters, played major festivals around the world, including Reading\/Leeds in the UK, Soundwave in Australia, Summersonic in Japan, and the legendary Vans Warped Tour in the U.S.",FACTUAL
"She even integrates Japanese manga cartoon art in her videos; it plays a prominent, eye-popping visual role especially in the video for the high energy, synth- driven dance\/pop track 21. The lone ballad on the Blue Kiss teaser EP is the hypnotic and haunting Round & Round, which lyrically and musically taps into a deeper side of Marie's vast artistry.",FACTUAL
"The song and its artsy, highly metaphoric video reflect the singer's ability to release the painful demons she carried with her for years after a painful childhood.",NON_FACTUAL
Marie insists that she doesn't write songs for herself but for the world to experience and enjoy.,NON_FACTUAL
Ariana Grande faced backlash in July after a video was released showing her licking donuts and saying she 'hates' America.,FACTUAL
"The 22-year-old pop star, who was dressed in a sexy multicolored mini-dress, told the morning show: 'There's no excuse or nothing to justify it.",NON_FACTUAL
"But, you know as human beings, we all say and do things we don't mean at all sometimes and we have to learn from it.'      Setting the record straight: Ariana Grande made time to stop by for an interview with Good Morning America on Tuesday morning, letting her fans know that she has made changes since her donut-licking incident     Hey all! Ariana was all smiles in Times Square, greeting her sea of fans with a friendly wave and kisses while dressed in a black skater dress featuring blue and white panels   While sitting down with co-host Amy Robach, she readdressed the controversial incident  thatoccurred at Wolfee Donuts located in Riverside County, California.",NON_FACTUAL
"But, you know as human beings, we all say and do things we don't mean at all sometimes and we have to learn from it'      Realization: The pop star added: 'You have to remember that you're words and actions have ramifications'   Ariana added: 'That's part of our process, we have to learn from our mistakes and that's how we grow.'   She explained her new outlook on the matter after  becomingthecenterofcontroversy.",NON_FACTUAL
"The brunette beauty chose to put her sun-kissed legs on full display in a peplum-flared frock, featuring a waist-cinching panel near the bodice.",NON_FACTUAL
"She accessorized with one large diamond ring on her middle finger, which she showed off while blowing kisses to her admirers.   The Break Free crooner has since been hard at work, striving to move on to better things, including her new passion project which will hit stores this month.      Style cues: The brunette beauty chose to put her sun-kissed legs on full display in a peplum-flared frock, featuring a waist-cinching panel near the bodice   She showcased her new fragrance, titled Ari by Ariana Grande, which is packaged in a flirty pink crystalline bottle with a white pom-pom, calling it 'really sweet and yummy.'   Dishing on her debut scent, she said: 'I'm fairly new to the fragrance industry.",FACTUAL
"But, it's really sweet, there's a little bit of marshmallow and a little bit of raspberry.'   Trying to make an avid change for others as well as herself, she discussed her latest social media venture known as the #BeYou Campaign, which is attached to her newfragrance.",NON_FACTUAL
She will also portraying Molly Peters in the TV series Stuck in The Middle.,NON_FACTUAL
